Name,Value,Category,Description
Vout,6.5 V,System Information,Operational Output Voltage
IC Tolerance,15 mV,IC,IC Feedback Tolerance
Cin IRMS,1.5 A,Capacitor,Input capacitor RMS ripple current
Cin Pd,748.89 µW,Capacitor,Input capacitor power dissipation
Cout IRMS,266.48 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,71.89 µW,Capacitor,Output capacitor power dissipation
Coutx IRMS,346.01 µA,Capacitor,Output capacitor_x RMS ripple current
Coutx Pd,2.39 nW,Capacitor,Output capacitor_x power loss
L Ipp,924.33 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,275.71 mW,Inductor,Inductor power dissipation
Ipp percentage,24.32%,Inductor,Inductor ripple current percentage (with respect to average inductor current)
Duty Cycle,19.12%,System Information,Duty cycle
Efficiency,91.4%,System Information,Steady state efficiency
Frequency,400 kHz,System Information,Switching frequency
IC Tj,118.41 °C,IC,IC junction temperature
ICThetaJA,42.9 °C/W,IC,IC junction-to-ambient thermal resistance
IC Pd,2.06 W,IC,IC power dissipation
Pout,24.7 W,System Information,Total output power
Iin Avg,751.05 mA,IC,Average input current
IC Ipk,4.26 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,3.79 mV,System Information,Peak-to-peak output ripple voltage
Vin p-p,126.94 mV,System Information,Peak-to-peak input voltage
Phase Marg,57.63 °,System Information,Bode Plot Phase Margin
Cross Freq,29.64 kHz,System Information,Bode plot crossover frequency
Low Freq Gain,89.51 dB,System Information,Gain at 1Hz
Gain Marg,-28.19 dB,System Information,Bode Plot Gain Margin
Total Pd,2.34 W,Power,Total Power Dissipation
FootPrint,600 mm²,System Information,Total Foot Print Area of BOM components
Vin,36 V,System Information,Vin operating point
Iout,3.8 A,System Information,Iout operating point
Cin Pd,748.89 µW,Power,Input capacitor power dissipation
Cout Pd,71.89 µW,Power,Output capacitor power dissipation
Coutx Pd,2.39 nW,Power,Output capacitor_x power loss
L Pd,275.71 mW,Power,Inductor power dissipation
IC Pd,2.06 W,Power,IC power dissipation
Vout Actual,6.49 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,3.23%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Total BOM,$4.26,System Information,Total BOM Cost
BOM Count,23 ,System Information,Total Design BOM count
